marketPk,eventPk,marketTitle,marketType,outcome,outcomeIndex,truePrice,spread,steps,toReturn,toLose,depthPercentages,seed
BV6FLHp254RSaQvLtrjhQa51Btn3GpQUT9iRu1S714CX,28JcGnQr9T4PZhduwR3L45Cyp5mBtjV7ShN87BxRN2Bx,Full Time Result,EventResultFullTime,Torino,0,2,2,2,100,100,"100,75,50",TRUE
BV6FLHp254RSaQvLtrjhQa51Btn3GpQUT9iRu1S714CX,28JcGnQr9T4PZhduwR3L45Cyp5mBtjV7ShN87BxRN2Bx,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
BV6FLHp254RSaQvLtrjhQa51Btn3GpQUT9iRu1S714CX,28JcGnQr9T4PZhduwR3L45Cyp5mBtjV7ShN87BxRN2Bx,Full Time Result,EventResultFullTime,Atalanta,2,2,2,2,100,100,"100,75,50",FALSE
ABtq8rQNNRoXyqaNQUVNaubcR5PyFjucogZfvzUcGzbZ,35DX3LrSQ2i6FVenhEErqbWd6sTwp9hFmAve7A5uJDrn,Winner,EventResultWinner,Minnesota Timberwolves,0,2,2,2,100,100,"100,75,50",FALSE
ABtq8rQNNRoXyqaNQUVNaubcR5PyFjucogZfvzUcGzbZ,35DX3LrSQ2i6FVenhEErqbWd6sTwp9hFmAve7A5uJDrn,Winner,EventResultWinner,Denver Nuggets,1,2,2,2,100,100,"100,75,50",FALSE
7Dz2i5X6yj3khkxSbhPdT6gH92nc3KHPrzYSSQuZQpAN,4EAdRH9k1Pddg4K3b6K2gsi5yBmqZ7uVvKarYhgkubtf,Full Time Result,EventResultFullTime,Fiorentina,0,2,2,2,100,100,"100,75,50",FALSE
7Dz2i5X6yj3khkxSbhPdT6gH92nc3KHPrzYSSQuZQpAN,4EAdRH9k1Pddg4K3b6K2gsi5yBmqZ7uVvKarYhgkubtf,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
7Dz2i5X6yj3khkxSbhPdT6gH92nc3KHPrzYSSQuZQpAN,4EAdRH9k1Pddg4K3b6K2gsi5yBmqZ7uVvKarYhgkubtf,Full Time Result,EventResultFullTime,Sampdoria,2,2,2,2,100,100,"100,75,50",FALSE
FAhAwtjQZFsYZk8ifGnWCtukn93ewpq8zroedgAvvoyg,4N3uGpbafTxenHWnqheiZhscB1qYNdH5pdxsBCn5ULR5,Full Time Result,EventResultFullTime,Freiburg,0,2,2,2,100,100,"100,75,50",FALSE
FAhAwtjQZFsYZk8ifGnWCtukn93ewpq8zroedgAvvoyg,4N3uGpbafTxenHWnqheiZhscB1qYNdH5pdxsBCn5ULR5,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
FAhAwtjQZFsYZk8ifGnWCtukn93ewpq8zroedgAvvoyg,4N3uGpbafTxenHWnqheiZhscB1qYNdH5pdxsBCn5ULR5,Full Time Result,EventResultFullTime,Schalke 04,2,2,2,2,100,100,"100,75,50",FALSE
B2hEJv7jRNG2VAykkbAfCizxfdT91pqyjC5AgvTKDZro,4gwp3wEnvCYtQ9Z4QGkJNfxRzoU7JYyvVKpza1QbLcH1,Winner,EventResultWinner,Golden State Warriors,0,2,2,2,100,100,"100,75,50",FALSE
B2hEJv7jRNG2VAykkbAfCizxfdT91pqyjC5AgvTKDZro,4gwp3wEnvCYtQ9Z4QGkJNfxRzoU7JYyvVKpza1QbLcH1,Winner,EventResultWinner,Sacramento Kings,1,2,2,2,100,100,"100,75,50",FALSE
8yDdmUCsynjrniU1ycpRZQ9Ehq93dhstq1ZNerzR8xrn,4sW1L8FDVDrdjx6bsmuJZLYGHyHujCnKSguD7meTehvJ,Full Time Result,EventResultFullTime,Bayer Leverkusen,0,2,2,2,100,100,"100,75,50",FALSE
8yDdmUCsynjrniU1ycpRZQ9Ehq93dhstq1ZNerzR8xrn,4sW1L8FDVDrdjx6bsmuJZLYGHyHujCnKSguD7meTehvJ,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
